host_response_rate,host_is_superhost,host_identity_verified,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,washers,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
67,False,True,80220,39.7416,-104.93613,Apartment,Private room,1,1,1,1,32.0,100.0,25.0,1,5.0,14,0,94,10,9.0,9.0,10.0,10.0,9.0,False,moderate,1,0,1,0,1.14,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1
97,False,True,80211,39.757059999999996,-105.01021999999999,Apartment,Private room,4,1,1,2,66.0,200.0,75.0,4,0.0,30,59,100,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,0,1,0,0.21,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
100,False,True,80202,39.75475,-105.00533,Apartment,Entire home/apt,4,1,2,2,235.0,400.0,115.0,2,0.0,30,55,99,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,0.69,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
97,False,False,80202,39.75035,-104.99623999999999,Apartment,Entire home/apt,4,0,2,3,3800.0,1000.0,175.0,4,25.0,30,87,80,10,10.0,10.0,8.0,10.0,6.0,False,strict_14_with_grace_period,1,1,0,0,0.06,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
100,False,True,80209,39.69859,-104.9813,House,Entire home/apt,7,2,3,3,205.0,0.0,110.0,6,20.0,3,66,96,10,10.0,10.0,9.0,10.0,10.0,False,moderate,1,1,0,0,1.44,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
90,True,True,80223,39.71816,-104.9962,House,Private room,4,1,1,1,70.0,0.0,30.0,2,25.0,1,0,99,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,0,1,0,1.69,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
100,True,True,80218,39.7413,-104.96933999999999,House,Private room,2,1,1,2,55.0,0.0,0.0,1,15.0,2,70,97,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,0,1,0,3.49,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0
100,False,True,80218,39.744279999999996,-104.96285,Apartment,Entire home/apt,2,1,1,1,110.0,0.0,0.0,1,0.0,30,54,96,10,9.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,2.22,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
100,True,True,80206,39.74065,-104.95846,House,Private room,2,1,1,1,60.0,200.0,80.0,1,0.0,30,76,95,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,3,1,2,0,1.78,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
97,False,True,80205,39.76746,-104.97948000000001,Apartment,Entire home/apt,4,1,2,2,200.0,1000.0,50.0,1,15.0,180,90,92,9,9.0,9.0,10.0,9.0,9.0,True,strict_14_with_grace_period,1,1,0,0,0.56,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
100,True,True,80211,39.77068,-105.03456000000001,Apartment,Entire home/apt,2,1,0,1,85.0,400.0,75.0,1,0.0,30,68,97,10,10.0,10.0,10.0,10.0,10.0,False,moderate,2,2,0,0,2.83,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
100,False,True,80211,39.76659,-105.00957,House,Entire home/apt,5,2,2,2,129.0,500.0,85.0,5,40.0,1,63,98,10,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,1,1,0,0,1.89,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0
100,True,True,80210,39.683040000000005,-104.98302,House,Private room,2,1,1,0,65.0,100.0,35.0,1,5.0,3,39,99,10,10.0,10.0,10.0,10.0,10.0,False,moderate,4,3,1,0,0.48,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
100,True,False,80209,39.70418,-104.96721000000001,Apartment,Entire home/apt,2,1,1,1,109.0,100.0,49.0,2,0.0,1,0,98,10,10.0,10.0,10.0,10.0,10.0,True,flexible,2,2,0,0,6.61,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1
100,False,True,80211,39.760909999999996,-105.01205,Apartment,Entire home/apt,6,1,2,3,120.0,0.0,30.0,3,10.0,1,54,95,10,9.0,10.0,9.0,10.0,9.0,False,flexible,1,1,0,0,9.14,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0
100,True,True,80238,39.75663,-104.88423,House,Entire home/apt,6,2,3,3,199.0,399.0,120.0,4,15.0,3,59,99,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,1.59,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0
100,True,True,80211,39.751459999999994,-105.02246000000001,House,Entire home/apt,3,1,2,2,98.0,100.0,50.0,3,20.0,2,65,98,10,10.0,10.0,10.0,10.0,10.0,True,moderate,1,1,0,0,1.96,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
100,True,True,80205,39.759159999999994,-104.98068,House,Entire home/apt,10,2,3,6,299.0,500.0,90.0,8,25.0,2,65,99,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,1.09,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
100,True,True,80230,39.72345,-104.89731,House,Private room,2,1,1,1,55.0,95.0,60.0,2,40.0,2,73,99,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,0,1,0,1.39,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
100,False,True,80211,39.768209999999996,-105.00076000000001,House,Entire home/apt,6,2,3,4,199.0,0.0,99.0,1,0.0,5,0,98,10,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,1,1,0,0,0.82,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0
100,True,True,80220,39.74156,-104.91633,Apartment,Entire home/apt,4,1,2,2,78.0,150.0,20.0,2,15.0,2,78,98,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,3.1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0
100,True,True,80205,39.749790000000004,-104.96446999999999,House,Private room,2,1,1,1,65.0,0.0,0.0,1,0.0,2,68,98,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,0,1,0,2.46,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
100,True,True,80207,39.75006,-104.93265,House,Private room,4,1,2,2,170.0,0.0,30.0,1,0.0,1,84,99,10,10.0,10.0,10.0,10.0,10.0,False,moderate,2,0,2,0,0.19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
100,True,True,80223,39.716609999999996,-104.99618000000001,House,Private room,2,1,1,1,75.0,0.0,15.0,1,10.0,2,89,100,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,0,1,0,1.12,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0
100,False,True,80218,39.741279999999996,-104.96761000000001,Apartment,Entire home/apt,2,1,1,1,66.0,500.0,0.0,2,5.0,30,0,93,9,10.0,9.0,9.0,10.0,9.0,False,strict_14_with_grace_period,5,5,0,0,0.39,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
100,True,True,80210,39.683890000000005,-104.98076,House,Entire home/apt,6,3,3,3,220.0,400.0,125.0,2,28.0,3,46,98,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,4,3,1,0,0.93,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1
100,False,True,80211,39.77989,-105.01581000000002,House,Entire home/apt,3,1,2,2,57.0,0.0,60.0,3,20.0,3,22,97,10,9.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,0.5,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0
100,True,True,80206,39.73433,-104.95666000000001,House,Private room,2,1,1,1,74.0,150.0,20.0,1,0.0,1,31,99,10,10.0,10.0,10.0,10.0,10.0,False,moderate,3,1,2,0,4.24,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
97,False,True,80209,39.70169,-104.98266000000001,House,Entire home/apt,10,3,4,5,300.0,0.0,150.0,1,0.0,5,0,96,10,10.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,2,2,0,0,0.08,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
100,True,True,80205,39.75525,-104.97745,House,Entire home/apt,4,1,2,2,125.0,0.0,75.0,1,0.0,2,50,97,10,10.0,10.0,10.0,10.0,10.0,True,moderate,1,1,0,0,5.14,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
94,False,False,80205,39.74965,-104.96088,House,Entire home/apt,4,1,1,0,86.0,0.0,75.0,2,0.0,30,45,94,10,10.0,10.0,9.0,10.0,9.0,True,strict_14_with_grace_period,6,6,0,0,0.86,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0
100,False,False,80222,39.67548,-104.92997,House,Entire home/apt,6,1,2,5,74.0,0.0,59.0,2,10.0,1,82,94,9,9.0,10.0,9.0,9.0,9.0,False,moderate,1,1,0,0,2.76,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1
100,True,False,80211,39.7494,-105.03548,Apartment,Entire home/apt,4,1,1,1,95.0,100.0,30.0,2,20.0,1,31,95,10,10.0,10.0,10.0,10.0,10.0,False,flexible,1,1,0,0,4.28,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0
100,True,True,80223,39.72515,-104.99727,House,Private room,2,1,1,1,65.0,0.0,19.0,2,0.0,1,40,99,10,10.0,10.0,10.0,10.0,10.0,False,moderate,2,1,1,0,5.71,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0
100,False,True,80219,39.71703,-105.03896,Apartment,Entire home/apt,6,1,2,2,128.0,300.0,65.0,2,35.0,1,90,96,10,9.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,2,2,0,0,3.07,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0
100,True,True,80218,39.73417,-104.97613999999999,House,Entire home/apt,3,1,1,2,95.0,0.0,35.0,2,25.0,2,62,98,10,10.0,10.0,10.0,10.0,10.0,True,moderate,1,1,0,0,3.72,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1
