date,host_response_rate,host_is_superhost,host_identity_verified,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,washers,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
2015-11-08,100,False,True,80207,39.75465,-104.93283999999998,House,Entire home/apt,12,2,4,8,500.0,200.0,130.0,10,25.0,2,74,98,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,0.59,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
2013-01-10,100,False,True,80210,39.68034,-104.96504,House,Private room,2,1,1,1,69.0,150.0,0.0,1,10.0,1,61,92,9,9.0,9.0,9.0,10.0,9.0,True,flexible,2,0,2,0,0.89,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
2013-10-04,90,True,True,80212,39.77033,-105.04572,Apartment,Entire home/apt,4,1,0,1,110.0,0.0,60.0,2,25.0,2,0,98,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,3.76,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2014-04-12,97,False,True,80212,39.75475,-105.04872,House,Entire home/apt,4,2,2,2,165.0,2500.0,90.0,2,50.0,30,0,100,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,0.1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2014-04-15,100,False,True,80223,39.72005,-104.98826,House,Entire home/apt,6,3,3,3,300.0,0.0,150.0,1,0.0,1,67,100,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,2.05,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
2011-08-31,100,True,False,80205,39.7543,-104.97602,House,Private room,2,1,1,1,50.0,0.0,30.0,1,20.0,1,61,99,10,10.0,10.0,10.0,10.0,10.0,True,moderate,2,1,1,0,6.7,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
2018-11-08,100,True,False,80223,39.71735,-104.98946,Apartment,Entire home/apt,4,1,1,2,100.0,0.0,50.0,2,15.0,1,43,100,10,10.0,10.0,10.0,10.0,10.0,True,moderate,2,2,0,0,4.17,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2015-06-03,100,False,False,80204,39.74684,-105.02968,House,Entire home/apt,6,2,2,4,157.0,0.0,150.0,6,0.0,2,10,96,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,2.33,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2015-03-08,100,False,True,80219,39.67933,-105.04783,House,Private room,6,1,3,3,80.0,0.0,75.0,6,25.0,1,62,97,10,10.0,10.0,10.0,9.0,10.0,True,moderate,1,0,1,0,4.29,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2017-04-22,97,False,True,80218,39.71882,-104.97778999999998,Apartment,Entire home/apt,2,1,1,1,100.0,100.0,25.0,1,0.0,31,0,97,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,0.23,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
